rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_logistic__C,param_logistic__class_weight
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9826394081115722,"(1, 1)",2,0.95,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.5247556686401367,"(1, 2)",2,0.95,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.833165979385376,"(1, 1)",3,0.95,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.4300637722015381,"(1, 2)",3,0.95,1.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8596335887908936,"(1, 1)",2,0.85,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.4848541736602783,"(1, 2)",2,0.85,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8271140575408935,"(1, 1)",3,0.85,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.4039140701293946,"(1, 2)",3,0.85,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8337940692901611,"(1, 1)",2,0.9,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.4323867797851562,"(1, 2)",2,0.9,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8278867721557617,"(1, 1)",3,0.9,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.3582027435302735,"(1, 2)",3,0.9,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8051723957061767,"(1, 1)",2,0.95,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.4577417850494385,"(1, 2)",2,0.95,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8264976978302002,"(1, 1)",3,0.95,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.359643316268921,"(1, 2)",3,0.95,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8124192237854004,"(1, 1)",2,0.85,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.4344218254089356,"(1, 2)",2,0.85,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.3893455982208252,"(1, 2)",3,0.85,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8011921405792236,"(1, 1)",2,0.9,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.4405571937561035,"(1, 2)",2,0.9,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.3756473541259766,"(1, 2)",3,0.9,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8146639823913574,"(1, 1)",2,0.95,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.3803727626800537,"(1, 2)",2,0.95,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.3632362365722657,"(1, 2)",3,0.95,100.0,
