rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_logistic__C,param_logistic__class_weight
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.0258942604064942,"(1, 1)",3,0.9,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.6790515422821044,"(1, 2)",3,0.9,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.9609032154083252,"(1, 1)",2,0.95,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.6861951351165771,"(1, 2)",2,0.95,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.9846842288970947,"(1, 1)",3,0.95,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.7419705867767334,"(1, 2)",3,0.95,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8523668766021728,"(1, 1)",2,0.85,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.4803946018218994,"(1, 2)",2,0.85,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.3976355075836182,"(1, 2)",3,0.85,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8244421482086182,"(1, 1)",2,0.9,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.4372695446014405,"(1, 2)",2,0.9,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.3976141452789306,"(1, 2)",3,0.9,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,0.8579999923706054,"(1, 1)",2,0.95,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.4915667057037354,"(1, 2)",2,0.95,100.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.419448471069336,"(1, 2)",3,0.95,100.0,
